Location,Total.Offenses,Assault.Offenses,Homicide.Offenses,Human.Trafficking,Kidnapping.Abduction,Sex.Offenses
Total,2235280,2063412,11815,1576,31216,127261
Abandoned/Condemned Structure,918,757,8,0,23,130
Air/Bus/Train Terminal,6322,5971,19,2,34,296
Amusement Park,631,574,1,0,5,51
Arena/Stadium/Fairgrounds/Coliseum,684,639,0,0,0,45
ATM Separate from Bank,159,138,0,0,10,11
Auto Dealership New/Used,1382,1346,2,0,8,26
Bank/Savings and Loan,1810,1704,6,0,69,31
Bar/Nightclub,20283,19463,158,11,74,577
Camp/Campground,2299,1961,6,0,39,293
Church/Synagogue/Temple/Mosque,2919,2515,13,0,44,347
Commercial/Office Building,21508,20400,85,21,182,820
Community Center,1309,1195,5,1,9,99
Construction Site,1327,1259,7,0,10,51
Convenience Store,26336,25458,172,6,354,346
Cyberspace,8369,8288,0,81,0,0
Daycare Facility,1648,1392,1,0,29,226
Department/Discount Store,14958,14344,17,5,176,416
Dock/Wharf/Freight/Modal Terminal,471,454,0,0,3,14
Drug Store/Doctor's Office/Hospital,29475,27409,40,9,117,1900
Farm Facility,445,372,8,0,9,56
Field/Woods,9758,8083,240,4,154,1277
Gambling Facility/Casino/Race Track,1841,1760,7,1,25,48
Government/Public Building,13671,12244,14,19,250,1144
Grocery/Supermarket,12211,11755,27,0,129,300
Highway/Road/Alley/Street/Sidewalk,252492,240164,3288,158,3930,4952
Hotel/Motel/Etc.,51971,45140,232,336,1301,4962
Industrial Site,1506,1437,5,0,9,55
Jail/Prison/Penitentiary/Corrections Facility,21010,20057,27,4,32,890
Lake/Waterway/Beach,2176,1881,25,1,16,253
Liquor Store,1974,1918,13,0,11,32
Military Installation,79,61,0,0,1,17
Park/Playground,17192,15200,104,16,198,1674
Parking/Drop Lot/Garage,95747,90832,917,35,1277,2686
Rental Storage Facility,2186,1992,10,3,58,123
Residence/Home,1441577,1323177,5710,625,20721,91344
Rest Area,1020,949,1,0,6,64
Restaurant,28345,27193,88,20,271,773
School/College,6046,5501,1,1,34,509
School-College/University,3880,3284,4,0,48,544
School-Elementary/Secondary,28168,25589,10,7,185,2377
Service/Gas Station,18033,17341,124,7,287,274
Shelter-Mission/Homeless,3196,3015,7,2,13,159
Shopping Mall,2903,2720,15,2,33,133
Specialty Store,9363,8879,26,3,113,342
Tribal Lands,113,99,0,1,1,12
Other/Unknown,65569,57502,372,195,918,6582
