Location,Total.Offenses,Animal.Cruelty,Drug.Narcotic.Offenses,Gambling.Offenses,Pornography.Obscene.Material,Prostitution.Offenses,Weapon.Law.Violations
Total,1273179,11566,1039388,1444,25268,7364,188149
Abandoned/Condemned Structure,712,11,616,1,1,5,78
Air/Bus/Train Terminal,5692,13,3610,0,15,17,2037
Amusement Park,151,0,121,0,2,0,28
Arena/Stadium/Fairgrounds/Coliseum,151,3,117,0,3,0,28
ATM Separate from Bank,41,1,25,0,1,0,14
Auto Dealership New/Used,618,4,502,5,5,1,101
Bank/Savings and Loan,1246,1,1089,0,5,3,148
Bar/Nightclub,2971,5,1857,28,15,27,1039
Camp/Campground,760,9,621,1,3,2,124
Church/Synagogue/Temple/Mosque,1953,4,1724,0,26,5,194
Commercial/Office Building,7778,94,6020,204,110,201,1149
Community Center,337,1,266,1,11,2,56
Construction Site,621,3,528,2,2,0,86
Convenience Store,21770,41,18793,201,35,51,2649
Cyberspace,3812,0,18,8,3722,51,13
Daycare Facility,107,1,91,1,4,0,10
Department/Discount Store,17427,77,15539,11,83,18,1699
Dock/Wharf/Freight/Modal Terminal,1108,0,1087,0,0,0,21
Drug Store/Doctor's Office/Hospital,7257,41,6676,1,43,13,483
Farm Facility,233,92,106,0,3,0,32
Field/Woods,8777,357,6191,2,32,74,2121
Gambling Facility/Casino/Race Track,2889,2,2057,382,4,268,176
Government/Public Building,9993,55,8087,47,1024,37,743
Grocery/Supermarket,10390,67,9510,7,49,19,738
Highway/Road/Alley/Street/Sidewalk,662860,900,569424,97,241,2307,89891
Hotel/Motel/Etc.,36357,101,30474,1,179,2179,3423
Industrial Site,517,2,444,3,3,3,62
Jail/Prison/Penitentiary/Corrections Facility,12225,1,11429,1,80,9,705
Lake/Waterway/Beach,1681,30,1441,0,6,3,201
Liquor Store,681,1,439,0,4,1,236
Military Installation,61,1,48,0,2,0,10
Park/Playground,11767,118,10054,4,60,27,1504
Parking/Drop Lot/Garage,108024,640,92544,9,130,465,14236
Rental Storage Facility,1581,20,1322,1,20,0,218
Residence/Home,234797,8160,161151,173,14679,1022,49612
Rest Area,514,0,435,1,5,3,70
Restaurant,8112,36,6772,24,81,34,1165
School/College,3736,5,3200,3,181,3,344
School-College/University,4627,10,4176,0,104,4,333
School-Elementary/Secondary,14162,13,10813,6,1175,7,2148
Service/Gas Station,16874,20,14559,30,16,55,2194
Shelter-Mission/Homeless,501,8,447,0,10,2,34
Shopping Mall,1782,26,1439,16,13,16,272
Specialty Store,7160,43,4370,40,52,51,2604
Tribal Lands,72,0,60,1,0,0,11
Other/Unknown,38294,549,29096,132,3029,379,5109
