Time.of.Day,Assault.Offenses,Larceny.Theft.Offenses,Destruction.Damage.Vandalism,Drug.Narcotic.Offenses,Burglary.Breaking.and.Entering
0,113092,160134,75038,78501,40770
1,68126,50046,34660,50272,16829
2,53616,43173,29662,37615,16784
3,39058,37568,24397,25254,16411
4,28859,32519,19715,15680,14838
5,23670,30961,18127,10690,12634
6,24986,40150,21336,11837,13475
7,32758,56727,29046,17221,16174
8,49272,104082,42755,25618,24326
9,54946,97344,40760,30585,20994
10,64612,111219,42757,36689,21951
11,71547,116158,41052,38808,20340
12,85960,170411,52825,40696,31570
13,76881,131496,39999,44536,20236
14,81537,140066,41935,49526,21919
15,88886,148688,46031,53625,24212
16,93235,149205,47952,53496,25524
17,97710,158088,56126,50355,30694
18,102575,145356,52880,49646,26373
19,102924,122637,47052,53839,20274
20,106260,119357,51045,58478,20698
21,103609,93764,48751,62403,18516
22,98575,86754,51138,65305,19436
23,87478,65364,42900,63825,16524
