Offense.Category,Total.Offenses,Number.of.Offenses.Completed,Number.of.Offenses.Attempted
Total,8879728,8674010,205718
Crimes Against Persons,2235280,2229936,5344
Assault Offenses,2063412,2063412,
Homicide Offenses,11815,11815,
Human Trafficking,1576,1454,122
Kidnapping/Abduction,31216,29797,1419
Sex Offenses,127261,123458,3803
Crimes Against Property,5371269,5178280,192989
Arson,21829,20708,1121
Bribery,622,530,92
Burglary/Breaking & Entering,522400,486537,35863
Counterfeiting/Forgery,102486,98331,4155
Destruction/Damage/Vandalism,1016618,1012138,4480
Embezzlement,19819,19654,165
Extortion/Blackmail,9141,4803,4338
Fraud Offenses,643405,597796,45609
Larceny/Theft Offenses,2453071,2380105,72966
Motor Vehicle Theft,406911,393223,13688
Robbery,102659,93038,9621
Stolen Property Offenses,72308,71417,891
Crimes Against Society,1273179,1265794,7385
Animal Cruelty,11566,11182,384
Drug/Narcotic Offenses,1039388,1036586,2802
Gambling Offenses,1444,1273,171
Pornography/Obscene Material,25268,24660,608
Prostitution Offenses,7364,6955,409
Weapon Law Violations,188149,185138,3011
